idx,Latitude,Longitude,Angle,Speed,HDOP,MatchedWayID,Deviation
0,37.496783,127.028183,357.1,68.2,1.0,521766182,정상
1,37.49695,127.028167,332.1,98.3,1.0,521766182,정상
2,37.497167,127.028017,355.5,107.6,1.0,521766182,정상
3,37.497433,127.028,324.9,112.4,1.0,521766182,정상
4,37.497667,127.027783,349.1,126.7,1.0,990628459,정상
5,37.497983,127.027717,320.0,82.2,1.0,990628459,정상
6,37.498133,127.02755,356.6,85.4,1.0,218864485,정상
7,37.49835,127.027533,326.3,116.7,1.0,218864485,정상
8,37.4986,127.027333,348.0,303.0,1.0,520307304,정상
9,37.499333,127.027133,348.0,303.0,1.0,520307304,정상
